Year,Week,Beat,District
2021,10,411,4.0
2023,13,1634,16.0
2020,20,224,2.0
2020,40,2412,24.0
2022,48,1522,15.0
2019,38,1712,17.0
2020,51,1023,10.0
2020,49,2433,24.0
2020,10,913,9.0
2019,40,925,9.0
2023,38,1112,11.0
2020,51,2512,25.0
2022,26,434,4.0
2021,11,623,6.0
2020,16,313,3.0
2022,37,433,4.0
2023,21,1232,12.0
2019,34,1215,12.0
2019,13,1921,19.0
2022,34,1524,15.0
2020,18,1915,19.0
2019,48,621,6.0
2021,17,235,2.0
2023,19,1423,14.0
2019,5,1621,16.0
2022,6,1911,19.0
2019,45,421,4.0
2022,43,715,7.0
2022,17,1921,19.0
2022,41,2532,25.0
2022,24,2411,24.0
2023,10,221,2.0
2022,33,723,7.0
2021,20,622,6.0
2021,10,1624,16.0
2021,2,512,5.0
2021,24,1921,19.0
2023,45,724,7.0
2019,39,513,5.0
2021,2,915,9.0
2021,22,123,1.0
2020,6,2422,24.0
2020,41,731,7.0
2021,26,715,7.0
2020,39,1135,11.0
2019,39,431,4.0
2023,31,724,7.0
2023,18,1011,10.0
2023,33,1423,14.0
2022,8,812,8.0
2021,42,1233,12.0
2019,42,223,2.0
2022,37,724,7.0
2022,13,1832,18.0
2020,44,1511,15.0
2022,7,312,3.0
2022,29,2212,22.0
2021,6,1522,15.0
2022,41,312,3.0
2019,20,1433,14.0
2022,40,734,7.0
2022,4,1711,17.0
2022,7,1513,15.0
2019,9,1513,15.0
2023,7,1225,12.0
2023,45,513,5.0
2022,41,2431,24.0
2019,13,513,5.0
2023,7,1812,18.0
2022,19,812,8.0
2020,52,114,1.0
2022,28,1722,17.0
2020,14,1132,11.0
2020,35,2013,20.0
2020,21,1912,19.0
2021,1,633,6.0
2023,24,1732,17.0
2022,46,1135,11.0
2020,17,1414,14.0
2022,14,1533,15.0
2019,1,414,4.0
2022,20,2213,22.0
2023,40,733,7.0
2023,28,1033,10.0
2023,26,923,9.0
2021,11,2234,22.0
2021,21,2213,22.0
2021,12,1711,17.0
2020,39,422,4.0
2019,9,1423,14.0
2021,18,931,9.0
2021,9,1222,12.0
2022,6,933,9.0
2021,2,2012,20.0
2022,48,912,9.0
2022,40,2033,20.0
2021,23,1653,16.0
2020,23,713,7.0
2021,12,2432,24.0
2020,38,723,7.0
2020,48,1013,10.0
2021,26,825,8.0
2020,47,1434,14.0
2022,21,1115,11.0
2023,30,713,7.0
2022,51,235,2.0
2023,29,1431,14.0
2020,32,1823,18.0
2022,9,932,9.0
2019,15,121,1.0
2023,1,1132,11.0
2021,43,633,6.0
2023,42,924,9.0
2019,22,1811,18.0
2019,52,1921,19.0
2023,39,823,8.0
2019,42,414,4.0
2021,20,1612,16.0
2021,27,221,2.0
2020,14,323,3.0
2020,4,1824,18.0
2020,23,621,6.0
2020,20,711,7.0
2019,10,312,3.0
2021,6,411,4.0
2023,32,1713,17.0
2022,14,2511,25.0
2023,41,1434,14.0
2023,1,833,8.0
2022,12,724,7.0
2022,38,1833,18.0
2021,40,1921,19.0
2023,24,724,7.0
2019,16,1423,14.0
2019,28,821,8.0
2019,5,2011,20.0
2021,25,1732,17.0
2021,17,1114,11.0
2020,40,732,7.0
2022,38,1713,17.0
2023,4,133,1.0
2023,28,812,8.0
2021,52,1911,19.0
2019,5,1814,18.0
2020,28,1733,17.0
2019,47,1934,19.0
2022,49,934,9.0
2022,6,321,3.0
2023,38,421,4.0
2022,26,235,2.0
2020,29,1412,14.0
2019,27,235,2.0
2022,1,1034,10.0
2019,17,1213,12.0
2022,30,1914,19.0
2022,16,1611,16.0
2020,4,431,4.0
2019,15,123,1.0
2022,5,1821,18.0
2020,12,914,9.0
2020,29,823,8.0
2023,22,725,7.0
2021,10,1125,11.0
2022,36,1831,18.0
2020,43,1123,11.0
2023,32,1124,11.0
2019,1,1214,12.0
2022,25,726,7.0
2020,30,833,8.0
2020,50,1711,17.0
2022,9,2213,22.0
2021,20,1224,12.0
2021,16,1524,15.0
2023,30,735,7.0
2019,49,1122,11.0
2019,51,2524,25.0
2021,39,821,8.0
2020,51,232,2.0
2020,14,833,8.0
2022,9,232,2.0
2021,31,2233,22.0
2023,44,2232,22.0
2021,35,833,8.0
2021,17,432,4.0
2021,21,2411,24.0
2020,9,1423,14.0
2023,2,1132,11.0
2021,26,923,9.0
2021,31,2422,24.0
2019,45,932,9.0
2021,23,1223,12.0
2022,30,1722,17.0
2021,18,1211,12.0
2020,32,234,2.0
2023,10,524,5.0
2020,14,2523,25.0
2019,26,2013,20.0
2022,1,724,7.0
2021,4,733,7.0
2021,15,1723,17.0
2021,26,2512,25.0
2020,45,1032,10.0
2019,12,811,8.0
2021,22,1935,19.0
2021,4,214,2.0
2021,21,2031,20.0
2023,37,834,8.0
2021,44,911,9.0
2022,47,1934,19.0
2020,36,2031,20.0
2019,30,1134,11.0
2022,13,321,3.0
2021,48,1021,10.0
2020,29,731,7.0
2023,22,925,9.0
2020,37,1651,16.0
2019,35,931,9.0
2022,46,524,5.0
2021,10,831,8.0
2020,48,2211,22.0
2023,34,2431,24.0
2023,32,312,3.0
2020,7,833,8.0
2022,35,2534,25.0
2020,50,2024,20.0
2019,42,1812,18.0
2021,4,1013,10.0
2021,43,214,2.0
2021,49,1823,18.0
2022,21,523,5.0
2022,30,1912,19.0
2019,23,433,4.0
2019,35,1512,15.0
2021,8,513,5.0
2021,37,621,6.0
2022,32,422,4.0
2023,41,2522,25.0
2019,50,921,9.0
2021,34,323,3.0
2022,39,1524,15.0
2020,27,2533,25.0
2021,41,1822,18.0
2020,29,225,2.0
2020,34,2411,24.0
2022,14,2522,25.0
2022,26,1122,11.0
2022,15,434,4.0
2020,42,422,4.0
2021,41,1832,18.0
2022,11,2413,24.0
2019,43,2234,22.0
2021,45,132,1.0
2020,27,2513,25.0
2020,19,1233,12.0
2020,51,2023,20.0
2021,13,1913,19.0
2021,37,2522,25.0
2021,33,1224,12.0
2019,51,2432,24.0
2021,22,235,2.0
2023,17,631,6.0
2020,28,422,4.0
2023,33,1913,19.0
2021,47,1235,12.0
2019,43,1812,18.0
2020,32,1915,19.0
2019,19,123,1.0
2021,14,1922,19.0
2022,38,824,8.0
2022,7,225,2.0
2020,44,935,9.0
2022,12,1125,11.0
2019,29,915,9.0
2020,5,1223,12.0
2019,20,132,1.0
2019,24,611,6.0
2021,7,723,7.0
2023,44,726,7.0
2019,20,1511,15.0
2019,31,2522,25.0
2022,5,612,6.0
2020,8,621,6.0
2023,22,1121,11.0
2021,46,1652,16.0
2022,25,1223,12.0
2019,46,1922,19.0
2023,13,113,1.0
2021,13,925,9.0
